iter	Passed	Remaining
390	1406	2189
391	1409	2186
392	1412	2182
393	1415	2177
394	1418	2172
395	1421	2168
396	1424	2163
397	1427	2159
398	1431	2156
399	1435	2153
400	1439	2150
401	1444	2148
402	1447	2144
403	1450	2140
404	1454	2136
405	1456	2131
406	1459	2126
407	1462	2122
408	1465	2117
409	1468	2112
410	1471	2109
411	1475	2105
412	1478	2100
413	1481	2097
414	1486	2095
415	1488	2090
416	1491	2085
417	1494	2081
418	1497	2076
419	1500	2072
420	1503	2068
421	1506	2063
422	1511	2061
423	1514	2056
424	1518	2054
425	1521	2049
426	1524	2045
427	1526	2040
428	1530	2037
429	1534	2033
430	1536	2028
431	1540	2024
432	1542	2020
433	1545	2015
434	1548	2011
435	1551	2007
436	1554	2002
437	1558	1999
438	1564	1999
439	1567	1995
440	1570	1991
441	1574	1988
442	1577	1983
443	1580	1979
444	1584	1976
445	1587	1971
446	1590	1967
447	1594	1964
448	1597	1960
449	1602	1958
450	1605	1953
451	1610	1952
452	1615	1950
453	1619	1947
454	1623	1944
455	1628	1942
456	1634	1942
457	1638	1939
458	1643	1937
459	1646	1932
460	1649	1928
461	1652	1924
462	1655	1920
463	1659	1916
464	1662	1913
465	1665	1908
466	1669	1905
467	1674	1903
468	1678	1900
469	1683	1898
470	1688	1896
471	1692	1892
472	1694	1888
473	1697	1883
474	1700	1879
475	1704	1876
476	1708	1873
477	1711	1868
478	1714	1864
479	1718	1861
480	1721	1857
481	1724	1853
482	1727	1849
483	1730	1845
484	1733	1841
485	1737	1837
486	1740	1833
487	1743	1829
488	1746	1824
489	1749	1820
490	1752	1816
491	1755	1812
492	1758	1808
493	1762	1805
494	1766	1801
495	1769	1798
496	1773	1794
497	1775	1789
498	1779	1786
499	1782	1782
500	1785	1778
501	1788	1774
502	1791	1770
503	1795	1767
504	1798	1763
505	1802	1759
506	1804	1754
507	1807	1750
508	1810	1746
509	1813	1742
510	1817	1739
511	1821	1736
512	1825	1733
513	1828	1729
514	1832	1725
515	1837	1723
516	1839	1718
517	1842	1714
518	1846	1710
519	1849	1706
520	1851	1702
521	1854	1698
522	1858	1694
523	1860	1690
524	1864	1686
525	1868	1683
526	1870	1679
527	1874	1675
528	1877	1671
529	1881	1668
530	1884	1664
531	1888	1661
532	1891	1657
533	1895	1653
534	1899	1651
535	1903	1647
536	1905	1643
537	1908	1639
538	1912	1635
539	1918	1634
540	1922	1631
541	1926	1627
542	1929	1623
543	1932	1619
544	1935	1616
545	1938	1611
546	1941	1607
547	1944	1603
548	1948	1600
549	1954	1599
550	1957	1595
551	1960	1591
552	1964	1587
553	1968	1584
554	1970	1580
555	1974	1576
556	1978	1573
557	1982	1570
558	1986	1567
559	1990	1564
560	1994	1560
561	1997	1556
562	2002	1554
563	2006	1551
564	2009	1547
565	2014	1544
566	2018	1541
567	2022	1538
568	2026	1534
569	2031	1532
570	2035	1529
571	2038	1525
572	2042	1522
573	2046	1518
574	2050	1515
575	2053	1511
576	2057	1508
577	2060	1504
578	2065	1501
579	2068	1497
580	2071	1494
581	2075	1490
582	2078	1486
583	2082	1483
584	2086	1480
585	2089	1476
586	2092	1472
587	2097	1469
588	2100	1465
589	2103	1461
590	2107	1458
591	2110	1454
592	2115	1451
593	2119	1448
594	2124	1445
595	2128	1442
596	2131	1438
597	2135	1435
598	2138	1431
599	2141	1427
600	2145	1424
601	2150	1421
602	2154	1418
603	2158	1415
604	2161	1411
605	2165	1407
606	2168	1404
607	2171	1400
608	2176	1397
609	2179	1393
610	2182	1389
611	2191	1389
612	2196	1386
613	2198	1382
614	2201	1377
615	2204	1374
616	2207	1370
617	2211	1366
618	2215	1363
619	2219	1360
620	2222	1356
621	2229	1354
622	2232	1351
623	2236	1347
624	2240	1344
625	2244	1341
626	2248	1337
627	2251	1333
628	2255	1330
629	2258	1326
630	2261	1322
631	2266	1319
632	2269	1315
633	2274	1312
634	2276	1308
635	2279	1304
636	2283	1301
637	2286	1297
638	2288	1293
639	2292	1289
640	2295	1285
641	2298	1281
642	2306	1280
643	2310	1276
644	2313	1273
645	2316	1269
646	2319	1265
647	2323	1262
648	2326	1258
649	2329	1254
650	2332	1250
651	2336	1246
652	2339	1243
653	2343	1239
654	2346	1235
655	2349	1232
656	2352	1228
657	2356	1224
658	2359	1220
659	2362	1216
660	2365	1212
661	2367	1208
662	2370	1205
663	2374	1201
664	2377	1197
665	2380	1193
666	2384	1190
667	2387	1186
668	2390	1182
669	2392	1178
670	2395	1174
671	2397	1170
672	2400	1166
673	2405	1163
674	2408	1159
675	2411	1155
676	2415	1152
677	2418	1148
678	2422	1145
679	2425	1141
680	2427	1137
681	2432	1134
682	2435	1130
683	2437	1126
684	2440	1122
685	2443	1118
686	2446	1114
687	2449	1110
688	2453	1107
689	2456	1103
690	2458	1099
691	2462	1095
692	2466	1092
693	2469	1088
694	2472	1085
695	2475	1081
696	2479	1077
697	2481	1073
698	2484	1069
699	2488	1066
700	2492	1063
701	2498	1060
702	2507	1059
703	2512	1056
704	2515	1052
705	2519	1049
706	2522	1045
707	2526	1042
708	2533	1039
709	2538	1036
710	2561	1041
711	2567	1038
712	2572	1035
713	2576	1032
714	2585	1030
715	2589	1027
716	2596	1025
717	2603	1022
718	2609	1019
719	2617	1017
720	2630	1018
721	2638	1015
722	2643	1012
723	2647	1009
724	2650	1005
725	2654	1001
726	2666	1001
727	2670	997
728	2674	994
729	2678	990
730	2683	987
731	2686	983
732	2689	979
733	2696	977
734	2700	973
735	2705	970
736	2708	966
737	2713	963
738	2717	959
739	2721	956
740	2725	952
741	2729	949
742	2737	946
743	2742	943
744	2746	940
745	2750	936
746	2754	932
747	2758	929
748	2762	925
749	2766	922
750	2769	918
751	2775	915
752	2780	911
753	2783	908
754	2787	904
755	2790	900
756	2797	897
757	2800	894
758	2803	890
759	2807	886
760	2811	882
761	2816	879
762	2820	876
763	2826	872
764	2831	869
765	2835	866
766	2839	862
767	2843	858
768	2847	855
769	2852	851
770	2857	848
771	2864	845
772	2869	842
773	2873	838
774	2877	835
775	2881	831
776	2887	828
777	2895	826
778	2901	823
779	2905	819
780	2910	816
781	2917	813
782	2923	810
783	2927	806
784	2933	803
785	2939	800
786	2944	796
787	2950	793
788	2953	789
789	2957	786
790	2961	782
791	2967	779
792	2971	775
793	2974	771
794	2978	768
795	2982	764
796	2986	760
797	2992	757
798	2998	754
799	3002	750
800	3005	746
801	3009	742
802	3012	739
803	3015	735
804	3018	731
805	3022	727
806	3027	724
807	3033	720
808	3037	717
809	3040	713
810	3044	709
811	3048	705
812	3051	701
813	3056	698
814	3060	694
815	3066	691
816	3070	687
817	3074	684
818	3079	680
819	3082	676
820	3086	672
821	3090	669
822	3095	665
823	3098	661
824	3103	658
825	3106	654
826	3112	651
827	3115	647
828	3119	643
829	3122	639
830	3127	635
831	3130	632
832	3133	628
833	3136	624
834	3139	620
835	3143	616
836	3149	613
837	3152	609
838	3157	605
839	3161	602
840	3164	598
841	3167	594
842	3169	590
843	3173	586
844	3177	582
845	3180	579
846	3183	575
847	3188	571
848	3192	567
849	3195	563
850	3198	560
851	3201	556
852	3205	552
853	3208	548
854	3211	544
855	3214	540
856	3217	536
857	3220	532
858	3223	529
859	3229	525
860	3232	521
861	3235	517
862	3237	513
863	3240	510
864	3244	506
865	3247	502
866	3252	498
867	3254	494
868	3257	491
869	3261	487
870	3266	483
871	3270	480
872	3274	476
873	3278	472
874	3282	468
875	3285	465
876	3288	461
877	3292	457
878	3295	453
879	3300	450
880	3304	446
881	3308	442
882	3312	438
883	3316	435
884	3319	431
885	3322	427
886	3325	423
887	3328	419
888	3332	416
889	3335	412
890	3338	408
891	3342	404
892	3346	401
893	3351	397
894	3354	393
895	3357	389
896	3360	385
897	3363	382
898	3366	378
899	3370	374
900	3382	371
901	3392	368
902	3399	365
903	3407	361
904	3414	358
905	3425	355
906	3431	351
907	3436	348
908	3440	344
909	3445	340
910	3448	336
911	3452	333
912	3455	329
913	3458	325
914	3461	321
915	3465	317
916	3469	314
917	3472	310
918	3475	306
919	3478	302
920	3481	298
921	3484	294
922	3487	290
923	3490	287
924	3493	283
925	3496	279
926	3501	275
927	3504	271
928	3506	268
929	3510	264
930	3513	260
931	3516	256
932	3519	252
933	3521	248
934	3524	244
935	3527	241
936	3530	237
937	3533	233
938	3537	229
939	3542	226
940	3545	222
941	3548	218
942	3551	214
943	3553	210
944	3556	206
945	3558	203
946	3562	199
947	3565	195
948	3568	191
949	3571	187
950	3573	184
951	3576	180
952	3580	176
953	3583	172
954	3586	168
955	3588	165
956	3591	161
957	3595	157
958	3598	153
959	3600	150
960	3604	146
961	3607	142
962	3609	138
963	3612	134
964	3615	131
965	3620	127
966	3623	123
967	3626	119
968	3629	116
969	3631	112
970	3634	108
971	3637	104
972	3640	101
973	3643	97
974	3646	93
975	3649	89
976	3651	85
977	3654	82
978	3658	78
979	3662	74
980	3666	71
981	3669	67
982	3674	63
983	3677	59
984	3681	56
985	3689	52
986	3704	48
987	3707	45
988	3713	41
989	3717	37
990	3719	33
991	3727	30
992	3735	26
993	3743	22
994	3748	18
995	3751	15
996	3756	11
997	3759	7
998	3764	3
999	3767	0
